asegurado_id,anio,numero_siniestros,monto_total
23,6,1,15579.17
23,7,2,73725.97
23,8,0,0.0
23,9,5,143065.53
23,10,2,27886.89
24,1,1,35092.55
24,2,2,35013.09
24,3,4,124051.29
24,4,2,45183.94
24,5,2,42610.33
24,6,2,32465.3
24,7,1,21552.16
24,8,0,0.0
24,9,1,13538.79
24,10,2,51055.11
25,1,4,75623.24
25,2,0,0.0
25,3,3,43345.58
25,4,1,90634.6
25,5,4,119972.66
25,6,4,96538.77
25,7,2,37133.73
25,8,4,112318.05
25,9,0,0.0
25,10,2,53470.62
26,1,0,0.0
26,2,1,10049.76
26,3,1,17441.91
26,4,0,0.0
26,5,0,0.0
26,6,0,0.0
26,7,0,0.0
26,8,1,35841.6
26,9,4,71080.84
26,10,0,0.0
27,1,2,19926.85
27,2,1,3427.98
27,3,2,42752.15
27,4,5,110967.34
27,5,3,96833.05
27,6,0,0.0
27,7,0,0.0
27,8,3,115231.39
27,9,2,68085.56
27,10,0,0.0
28,1,1,47766.87
28,2,2,14944.3
28,3,0,0.0
28,4,2,51223.16
28,5,3,96573.04
28,6,1,17667.27
28,7,0,0.0
28,8,2,60930.43
28,9,1,37745.2
28,10,1,18563.99
29,1,2,23214.31
29,2,2,67573.03
29,3,4,59441.79
29,4,1,21174.28
29,5,0,0.0
29,6,3,106311.98
29,7,0,0.0
29,8,1,13084.4
29,9,1,17408.76
29,10,1,24482.86
30,1,1,14874.85
30,2,1,9263.19
30,3,0,0.0
30,4,2,28231.91
30,5,1,9106.21
30,6,3,106158.06
30,7,1,32980.05
30,8,2,10881.25
30,9,1,3936.62
30,10,0,0.0
31,1,4,83615.45
31,2,1,7731.75
31,3,4,102246.61
31,4,3,42703.27
31,5,0,0.0
31,6,0,0.0
31,7,1,4623.15
31,8,2,27593.68
31,9,1,9096.76
31,10,3,42546.16
32,1,0,0.0
32,2,5,95656.41
32,3,2,23005.38
32,4,5,105501.54
32,5,0,0.0
32,6,1,29513.98
32,7,4,92562.55
32,8,1,26955.5
32,9,2,51219.49
32,10,2,47348.59
33,1,2,54355.15
33,2,1,12301.89
33,3,2,57883.26
33,4,1,19115.92
33,5,1,8037.87
33,6,1,47832.87
33,7,0,0.0
33,8,2,67936.87
33,9,2,18630.96
33,10,0,0.0
34,1,1,6632.79
34,2,1,53890.31
34,3,1,54755.72
34,4,0,0.0
34,5,0,0.0
34,6,0,0.0
34,7,0,0.0
34,8,1,45582.95
34,9,0,0.0
34,10,1,33875.09
35,1,0,0.0
35,2,2,67926.83
35,3,1,6814.64
35,4,2,27846.64
35,5,1,7596.11
35,6,3,45255.74
35,7,2,23460.73
35,8,0,0.0
35,9,1,24254.13
35,10,2,25322.42
36,1,0,0.0
36,2,0,0.0
36,3,0,0.0
36,4,0,0.0
36,5,1,36678.76
36,6,0,0.0
36,7,2,74758.47
36,8,0,0.0
36,9,0,0.0
36,10,3,100104.06
37,1,0,0.0
37,2,1,9086.58
37,3,2,24083.41
37,4,1,3535.34
37,5,3,47724.03
37,6,4,57650.7
37,7,2,18858.81
37,8,1,22755.23
37,9,3,66375.25
37,10,1,77432.45
38,1,3,67608.67
38,2,2,54813.16
38,3,0,0.0
38,4,1,28595.89
38,5,2,46242.9
38,6,2,33210.83
38,7,1,24392.41
38,8,1,33786.48
38,9,4,122363.64
38,10,2,29123.75
39,1,3,64129.66
39,2,1,53442.46
39,3,1,6428.89
39,4,0,0.0
39,5,5,70012.5
39,6,0,0.0
39,7,0,0.0
39,8,5,100460.73
39,9,1,50993.55
39,10,2,43156.59
40,1,0,0.0
40,2,1,19307.39
40,3,0,0.0
40,4,0,0.0
40,5,2,28446.33
40,6,1,34953.47
40,7,1,10267.33
40,8,1,7643.89
40,9,2,29473.22
40,10,2,35380.64
41,1,1,11175.86
41,2,0,0.0
41,3,2,20097.28
41,4,2,33187.29
41,5,1,14586.87
41,6,0,0.0
41,7,4,38813.26
41,8,0,0.0
41,9,0,0.0
41,10,1,30329.58
42,1,3,63308.71
42,2,2,66920.3
42,3,1,28892.49
42,4,2,81909.05
42,5,2,42325.1
42,6,2,27748.1
42,7,1,15551.73
42,8,0,0.0
42,9,2,39712.26
42,10,4,85291.9
43,1,1,8424.84
43,2,1,9867.74
43,3,1,6299.38
43,4,2,40675.72
43,5,1,31184.27
43,6,0,0.0
43,7,2,71867.21
43,8,1,9466.97
43,9,1,30671.64
43,10,4,34538.49
44,1,3,65846.92
44,2,2,69068.29
44,3,0,0.0
44,4,1,32135.92
44,5,1,10664.12
44,6,3,94802.16
44,7,1,8161.73
44,8,1,16358.39
44,9,0,0.0
44,10,2,42882.58
45,1,1,16706.51
45,2,2,40452.31
45,3,3,42561.94
45,4,3,56400.04
45,5,3,61209.97
45,6,2,19964.87
45,7,0,0.0
45,8,2,23381.57
45,9,3,45771.73
45,10,3,88592.62
46,1,0,0.0
46,2,2,37611.85
46,3,1,4314.88
46,4,4,57541.59
46,5,2,75315.49
46,6,2,25843.3
46,7,1,6787.64
46,8,1,13886.22
46,9,2,31466.13
46,10,2,39126.76
47,1,0,0.0
47,2,2,41610.63
47,3,1,32965.8
47,4,1,4599.47
47,5,3,75412.63
47,6,0,0.0
47,7,6,104439.02
47,8,1,46468.85
47,9,1,21301.25
47,10,0,0.0
48,1,0,0.0
48,2,2,42570.12
48,3,1,30062.29
48,4,2,14110.98
48,5,4,61098.83
48,6,2,41569.17
48,7,0,0.0
48,8,2,24032.45
48,9,2,49533.83
48,10,1,14129.07
49,1,0,0.0
49,2,1,27689.99
49,3,1,8671.26
49,4,1,3520.85
49,5,1,20070.59
49,6,2,20661.5
49,7,1,31049.84
49,8,0,0.0
49,9,1,19583.48
49,10,3,54966.17
50,1,2,22481.53
50,2,1,6618.6
50,3,5,141794.44
50,4,2,27717.58
50,5,2,36286.37
50,6,5,89205.86
50,7,0,0.0
50,8,2,61933.55
50,9,4,114655.22
50,10,1,23008.83
51,1,3,49817.58
51,2,4,74841.21
51,3,1,35222.22
51,4,3,44000.65
51,5,1,18587.18
51,6,3,28310.09
51,7,3,42679.26
51,8,2,22414.2
51,9,3,11921.62
51,10,3,49861.62
52,1,1,38522.11
52,2,3,38223.5
52,3,4,49687.27
52,4,1,22705.28
52,5,1,21096.28
52,6,2,70230.66
52,7,2,63365.93
52,8,1,25126.51
52,9,1,49790.54
52,10,1,13077.11
53,1,3,84758.15
53,2,3,26739.3
53,3,1,43348.6
53,4,3,57936.68
53,5,2,53121.92
53,6,0,0.0
53,7,0,0.0
53,8,0,0.0
53,9,1,6674.35
53,10,2,12752.72
54,1,0,0.0
54,2,2,39634.24
54,3,0,0.0
54,4,2,40300.55
54,5,1,22699.6
54,6,0,0.0
54,7,0,0.0
54,8,1,25792.75
54,9,0,0.0
54,10,0,0.0
55,1,1,31558.0
55,2,0,0.0
55,3,2,21711.01
55,4,2,14844.75
55,5,3,93297.83
55,6,1,7346.82
55,7,1,20185.84
55,8,2,20728.61
55,9,0,0.0
55,10,3,87788.66
56,1,2,24184.79
56,2,2,45354.24
56,3,0,0.0
56,4,1,37456.09
56,5,3,35320.74
56,6,3,58097.09
56,7,0,0.0
56,8,5,140642.62
56,9,5,67641.44
56,10,1,14723.92
57,1,3,55664.57
57,2,2,29692.84
57,3,2,30893.33
57,4,0,0.0
57,5,1,12730.6
57,6,0,0.0
57,7,4,98222.55
57,8,3,56098.21
57,9,2,66439.84
57,10,5,110948.16
58,1,2,57022.44
58,2,0,0.0
58,3,1,24963.07
58,4,0,0.0
58,5,1,14680.83
58,6,0,0.0
58,7,0,0.0
58,8,0,0.0
58,9,0,0.0
58,10,0,0.0
59,1,2,77304.88
59,2,4,117348.52
59,3,0,0.0
59,4,0,0.0
59,5,1,46338.88
59,6,3,54629.9
59,7,2,51158.4
59,8,0,0.0
59,9,1,20974.3
59,10,0,0.0
60,1,0,0.0
60,2,0,0.0
60,3,0,0.0
60,4,3,58070.73
60,5,0,0.0
60,6,0,0.0
60,7,0,0.0
60,8,1,25589.1
60,9,0,0.0
60,10,1,10456.41
61,1,0,0.0
61,2,1,14802.96
61,3,0,0.0
61,4,0,0.0
61,5,1,7951.77
61,6,0,0.0
61,7,1,16350.36
61,8,0,0.0
61,9,1,35913.85
61,10,0,0.0
62,1,4,74736.48
62,2,1,46080.75
62,3,2,25905.22
62,4,1,80901.78
62,5,1,4935.22
62,6,1,20710.6
62,7,3,37587.18
62,8,1,7965.55
62,9,1,12430.82
62,10,0,0.0
63,1,4,28546.43
63,2,2,21489.39
63,3,4,229106.59
63,4,0,0.0
63,5,1,20094.95
63,6,1,7588.18
63,7,2,37390.13
63,8,2,63856.64
63,9,0,0.0
63,10,3,86990.21
64,1,1,33018.5
64,2,2,37183.82
64,3,3,39113.01
64,4,2,72697.21
64,5,4,100227.82
64,6,1,37967.95
64,7,2,42450.2
64,8,1,3259.93
64,9,5,139076.84
64,10,1,15444.05
65,1,0,0.0
65,2,0,0.0
65,3,1,2177.29
65,4,0,0.0
65,5,2,31605.71
65,6,3,47806.87
65,7,3,60971.2
65,8,3,27732.62
65,9,0,0.0
65,10,1,23127.02
66,1,0,0.0
66,2,1,23784.28
66,3,3,61080.23
66,4,1,39405.34
66,5,1,5479.85
66,6,1,13171.22
66,7,2,47051.83
66,8,3,91150.93
66,9,2,87688.59
66,10,1,506.54
67,1,4,62628.8
67,2,2,18856.82
67,3,1,5420.92
67,4,0,0.0
67,5,0,0.0
67,6,2,23231.27
67,7,1,17767.8
67,8,0,0.0
67,9,1,10814.73
67,10,1,44374.18
68,1,2,22073.75
68,2,2,19999.35
68,3,2,12539.54
68,4,1,40376.51
68,5,1,21045.62
68,6,2,54056.54
68,7,3,39770.19
68,8,1,32648.01
68,9,2,84259.23
68,10,2,10876.38
69,1,2,51485.38
69,2,1,8956.14
69,3,4,107760.08
69,4,2,35873.0
69,5,2,46514.31
69,6,2,27232.26
69,7,2,38497.35
69,8,4,47320.14
69,9,5,104510.81
69,10,1,5203.38
70,1,1,20655.15
70,2,0,0.0
70,3,0,0.0
70,4,1,36798.13
70,5,1,18461.24
70,6,1,3543.14
70,7,0,0.0
70,8,0,0.0
70,9,0,0.0
70,10,0,0.0
71,1,6,79816.34
71,2,5,109645.0
71,3,3,43609.72
71,4,5,67226.1
71,5,3,61584.7
71,6,1,17701.81
71,7,4,105871.58
71,8,4,117672.53
71,9,2,40170.75
71,10,3,63694.63
72,1,1,5796.25
72,2,3,97843.33
72,3,2,30814.71
72,4,3,51347.16
72,5,1,18424.61
72,6,1,10155.23
72,7,0,0.0
72,8,3,85281.07
72,9,3,66479.51
72,10,2,30015.94
73,1,1,10544.24
73,2,1,35044.29
73,3,1,12265.37
73,4,2,42343.42
73,5,0,0.0
73,6,0,0.0
73,7,2,25460.48
73,8,0,0.0
73,9,1,21135.88
73,10,1,18416.0
74,1,1,51555.72
74,2,0,0.0
74,3,0,0.0
74,4,0,0.0
74,5,3,40779.2
74,6,2,43833.97
74,7,2,13017.46
74,8,1,34814.52
74,9,2,31129.19
74,10,1,7050.01
75,1,5,162716.64
75,2,2,25875.75
75,3,5,76175.08
75,4,2,23486.57
75,5,3,97055.13
75,6,2,19820.73
75,7,3,28870.84
75,8,2,77639.13
75,9,0,0.0
75,10,2,83711.35
76,1,0,0.0
76,2,2,72002.4
76,3,3,51931.54
76,4,4,51233.01
76,5,2,13389.54
76,6,5,81750.33
76,7,3,60060.55
76,8,2,42909.39
76,9,3,71478.86
76,10,1,36384.25
77,1,2,57195.16
77,2,2,44094.46
77,3,3,61684.31
77,4,0,0.0
77,5,3,59012.9
77,6,1,13483.57
77,7,1,16864.02
77,8,0,0.0
77,9,1,34184.41
77,10,2,54250.19
78,1,1,53136.43
78,2,1,29146.77
78,3,0,0.0
78,4,0,0.0
78,5,1,15140.05
78,6,3,41505.16
78,7,2,34407.97
78,8,0,0.0
78,9,1,11467.85
78,10,2,58676.51
79,1,2,7484.91
79,2,2,19314.5
79,3,0,0.0
79,4,1,8656.98
79,5,3,28338.51
79,6,0,0.0
79,7,1,6395.97
79,8,0,0.0
79,9,0,0.0
79,10,1,19115.16
80,1,3,73528.35
80,2,2,15201.67
80,3,4,61990.42
80,4,1,22573.17
80,5,1,40054.59
80,6,2,47434.75
80,7,1,23677.98
80,8,1,38294.55
80,9,1,22065.9
80,10,2,49088.41
81,1,1,14863.02
81,2,2,42345.56
81,3,1,10658.76
81,4,0,0.0
81,5,1,13485.06
81,6,3,73958.76
81,7,3,70977.98
81,8,1,20872.89
81,9,3,67836.75
81,10,3,79999.13
82,1,2,44604.92
82,2,1,33390.79
82,3,0,0.0
82,4,4,95128.24
82,5,0,0.0
82,6,1,12690.2
82,7,2,72126.1
82,8,2,29660.23
82,9,2,11021.74
82,10,1,24615.51
83,1,1,21065.16
83,2,1,53440.13
83,3,2,63816.19
83,4,2,21485.67
83,5,1,43465.03
83,6,4,113112.41
83,7,1,1647.84
83,8,2,39799.41
83,9,1,29650.22
83,10,2,69927.8
84,1,1,23543.18
84,2,1,9034.73
84,3,1,9967.73
84,4,0,0.0
84,5,0,0.0
84,6,0,0.0
84,7,1,15666.61
84,8,1,10252.43
84,9,2,11236.66
84,10,0,0.0
85,1,2,37564.01
85,2,1,32319.8
85,3,3,59052.2
85,4,0,0.0
85,5,3,75975.03
85,6,2,16620.94
85,7,2,62190.92
85,8,0,0.0
85,9,2,25616.08
85,10,1,15919.47
86,1,1,30409.03
86,2,1,17718.27
86,3,3,60534.9
86,4,0,0.0
86,5,1,10152.19
86,6,4,98962.05
86,7,2,27722.27
86,8,1,18258.85
86,9,0,0.0
86,10,2,28222.36
87,1,0,0.0
87,2,0,0.0
87,3,0,0.0
87,4,0,0.0
87,5,1,31024.56
87,6,0,0.0
87,7,0,0.0
87,8,1,16721.33
87,9,0,0.0
87,10,1,8606.14
88,1,2,58571.42
88,2,1,36274.83
88,3,0,0.0
88,4,0,0.0
88,5,2,26598.26
88,6,2,22468.08
88,7,1,32702.24
88,8,1,15435.31
88,9,1,6064.81
88,10,0,0.0
89,1,2,55531.23
89,2,3,44331.34
89,3,0,0.0
89,4,2,23389.58
89,5,2,23503.19
89,6,4,64639.79
89,7,1,36980.43
89,8,3,76930.04
89,9,2,21231.68
89,10,1,8982.29
90,1,1,25527.06
90,2,0,0.0
90,3,0,0.0
90,4,0,0.0
90,5,0,0.0
90,6,0,0.0
90,7,0,0.0
90,8,0,0.0
90,9,0,0.0
90,10,0,0.0
91,1,2,27005.89
91,2,1,10091.8
91,3,0,0.0
91,4,0,0.0
91,5,1,15443.89
91,6,0,0.0
91,7,2,22595.51
91,8,3,45411.89
91,9,1,14935.21
91,10,0,0.0
92,1,1,10370.66
92,2,1,5984.61
92,3,1,48326.13
92,4,4,58520.36
92,5,2,24981.43
92,6,3,74453.13
92,7,3,99090.72
92,8,3,20150.71
92,9,1,6119.55
92,10,2,40838.5
93,1,4,41188.45
93,2,2,52015.58
93,3,4,66005.92
93,4,0,0.0
93,5,2,14594.14
93,6,5,128408.79
93,7,0,0.0
93,8,3,56728.6
93,9,2,70797.74
93,10,0,0.0
94,1,3,48296.26
94,2,3,49141.21
94,3,2,46471.81
94,4,0,0.0
94,5,0,0.0
94,6,0,0.0
94,7,0,0.0
94,8,2,51849.28
94,9,1,20678.91
94,10,0,0.0
95,1,3,94914.93
95,2,1,21196.82
95,3,3,79201.53
95,4,1,5512.74
95,5,1,20635.35
95,6,2,64321.81
95,7,1,23530.7
95,8,2,14769.13
95,9,2,25340.43
95,10,2,14358.33
96,1,1,41077.79
96,2,0,0.0
96,3,1,12499.63
96,4,2,45908.32
96,5,2,26507.89
96,6,3,51920.6
96,7,2,47077.07
96,8,1,15229.11
96,9,3,74889.79
96,10,1,5377.19
97,1,2,42629.11
97,2,2,27782.69
97,3,2,30126.73
97,4,0,0.0
97,5,2,45946.18
97,6,3,64152.93
97,7,3,104840.86
97,8,1,3945.98
97,9,0,0.0
97,10,1,27190.48
98,1,1,13467.31
98,2,0,0.0
98,3,0,0.0
98,4,0,0.0
98,5,1,33948.72
98,6,0,0.0
98,7,1,48789.59
98,8,2,47098.17
98,9,0,0.0
98,10,2,47157.69
99,1,2,47921.25
99,2,2,19147.46
99,3,0,0.0
99,4,2,24611.22
99,5,1,9239.49
99,6,0,0.0
99,7,2,32479.65
99,8,0,0.0
99,9,1,32336.9
99,10,0,0.0
100,1,3,80966.73
100,2,1,4113.37
100,3,3,67825.19
100,4,2,36227.64
100,5,3,85244.69
100,6,4,160162.12
100,7,1,18152.05
100,8,2,75142.4
100,9,1,18466.92
100,10,2,19708.65
